Tissue,Download
Tongue,"[Download](https://drive.google.com/uc?id=1Yaq4v5LRVAHfjIiCZSeJHWUrbVVsMWiq)
"
Heart and Aorta,[Download](https://drive.google.com/uc?id=1HetW9wTPl1B5VpQIjwJUoZyryf6RPp_j)
Marrow,[Download](https://drive.google.com/uc?id=1XUda_niapLqlmsmVSRmGMZ5wLFbeUXqH)
Mammary Gland,[Download](https://drive.google.com/uc?id=1HfW2V0Nb6juhljKGcU02NkjgINFf518l)
Fat,[Download](https://drive.google.com/uc?id=1XKdcaATcJ9YQohVfiTpJtZf8hceDFXET)
Kidney,[Download](https://drive.google.com/uc?id=1QaVQ-7Q8I_wCXxqdk5aOj34FNewUHV2W)
Liver,[Download](https://drive.google.com/uc?id=1IdnOHoKpzI2h7iVfoMfzDWKm1ynBYEii)
Lung,[Download](https://drive.google.com/uc?id=1cBGY5xfMNS8XKKRwxKN-qg-whgL1EKpr)
Limb muscle,[Download](https://drive.google.com/uc?id=1uK_Jg1gHwADE-u5PLgdrCzMJNsraOyxX)
Pancreas,[Download](https://drive.google.com/uc?id=1MY21DvjFZ_Nexa5_HuhIdEUWwmc15Xt4)
Spleen,[Download](https://drive.google.com/uc?id=1d_Gb5xmkrDR78v7b5edFLvC8MsMfOxv1)
Thymus,[Download](https://drive.google.com/uc?id=1Dinpy0_ZmFDIf28yGl_k750-ZFSHJdAu)
Bladder,[Download](https://drive.google.com/uc?id=1R2HXJWF5jZf5AGA3jgvS7eDHo6wZbf-X)
Skin,[Download](https://drive.google.com/uc?id=1pyeENea2s6m3yIF4ArjrsZR79Dj2XUPO)
Large Intestine,[Download](https://drive.google.com/uc?id=1ci4KvZ8R3ZlGI7AAkuMvqgn4UVvODU3a)
Trachea,[Download](https://drive.google.com/uc?id=1mWA4MWXXQWLhuw5UoLtQfcDwZ2lq0JfB)
